AppID,Game Name,Copies,Owners
10,Counter-Strike,1,SkalinARG
20,Team Fortress Classic,1,SkalinARG
30,Day of Defeat,1,SkalinARG
40,Deathmatch Classic,1,SkalinARG
50,Half-Life: Opposing Force,1,SkalinARG
60,Ricochet,1,SkalinARG
70,Half-Life,3,"SkalinARG, Skalin, P3ngu0"
80,Counter-Strike: Condition Zero,1,SkalinARG
100,Counter-Strike: Condition Zero Deleted Scenes,1,SkalinARG
130,Half-Life: Blue Shift,1,SkalinARG
220,Half-Life 2,3,"SkalinARG, Skalin, P3ngu0"
240,Counter-Strike: Source,1,SkalinARG
280,Half-Life: Source,1,SkalinARG
300,Day of Defeat: Source,1,SkalinARG
320,Half-Life 2: Deathmatch,3,"SkalinARG, Skalin, P3ngu0"
360,Half-Life Deathmatch: Source,3,"SkalinARG, Skalin, P3ngu0"
400,Portal,3,"SkalinARG, Skalin, V2B"
500,Left 4 Dead,1,SkalinARG
550,Left 4 Dead 2,4,"SkalinARG, Skalin, Ogidor, V2B"
620,Portal 2,4,"SkalinARG, Skalin, P3ngu0, V2B"
730,Counter-Strike 2,5,"SkalinARG, Skalin, P3ngu0, Ogidor, V2B"
1250,Killing Floor,1,SkalinARG
2280,DOOM + DOOM II,1,SkalinARG
2300,DOOM II,1,SkalinARG
3590,Plants vs. Zombies: Game of the Year,1,SkalinARG
3830,Psychonauts,1,SkalinARG
6880,Just Cause,1,SkalinARG
8190,Just Cause 2,1,SkalinARG
8980,Borderlands GOTY,1,SkalinARG
9050,DOOM 3,1,SkalinARG
9070,DOOM 3: Resurrection of Evil,1,SkalinARG
17390,Spore,1,SkalinARG
17410,Mirror's Edge,1,SkalinARG
49520,Borderlands 2,5,"SkalinARG, Skalin, P3ngu0, Ogidor, V2B"
113200,The Binding of Isaac,1,SkalinARG
205230,Hell Yeah!,1,SkalinARG
206370,Tales from Space: Mutant Blobs Attack,1,SkalinARG
207490,Rayman Origins,1,SkalinARG
208200,DOOM 3: BFG Edition,1,SkalinARG
225540,Just Cause 3,1,SkalinARG
232090,Killing Floor 2,1,SkalinARG
235460,METAL GEAR RISING: REVENGEANCE,1,SkalinARG
235900,RPG Maker XP,3,"SkalinARG, Skalin, P3ngu0"
239140,Dying Light,1,SkalinARG
240720,Getting Over It with Bennett Foddy,1,SkalinARG
242550,Rayman Legends,1,SkalinARG
244210,Assetto Corsa,1,SkalinARG
248820,Risk of Rain (2013),1,SkalinARG
249050,Dungeon of the ENDLESS™,2,"SkalinARG, Skalin"
250900,The Binding of Isaac: Rebirth,1,SkalinARG
251230,Livelock,1,SkalinARG
261640,Borderlands: The Pre-Sequel,1,SkalinARG
261760,Lichdom: Battlemage,1,SkalinARG
269670,BADLAND: Game of the Year Edition,1,SkalinARG
281350,US and THEM,1,SkalinARG
285900,Gang Beasts,1,SkalinARG
288160,The Room,1,SkalinARG
289650,Assassin's Creed Unity,3,"SkalinARG, Ogidor, V2B"
311210,Call of Duty: Black Ops III,1,SkalinARG
311690,Enter the Gungeon,1,SkalinARG
323320,Grow Home,1,SkalinARG
323850,Move or Die,1,SkalinARG
330830,Tales from the Borderlands,1,SkalinARG
354240,"Please, Don’t Touch Anything",1,SkalinARG
359060,Switch Galaxy Ultra,1,SkalinARG
359840,Shift Happens,1,SkalinARG
362930,Garfield Kart,1,SkalinARG
379720,DOOM,2,"SkalinARG, Skalin"
382560,Hot Lava,1,SkalinARG
383980,Rivals of Aether,1,SkalinARG
387990,Scrap Mechanic,1,SkalinARG
395200,Ben and Ed,1,SkalinARG
397540,Borderlands 3,1,SkalinARG
400080,Out of Space,1,SkalinARG
